Japan, Period total fertility rates and period total fertility rates by age 40
Last modified: 22/04/2020
Year       TFR     TFR40
1947     4.614     4.298
1948     4.463     4.151
1949     4.373     4.117
1950     3.691     3.504
1951     3.300     3.149
1952     3.020     2.899
1953     2.738     2.641
1954     2.526     2.447
1955     2.405     2.338
1956     2.258     2.202
1957     2.078     2.034
1958     2.150     2.109
1959     2.080     2.046
1960     2.024     1.996
1961     1.977     1.954
1962     1.987     1.967
1963     2.013     1.995
1964     2.055     2.038
1965     2.155     2.139
1966     1.588     1.574
1967     2.236     2.222
1968     2.139     2.124
1969     2.135     2.121
1970     2.144     2.130
1971     2.169     2.155
1972     2.155     2.141
1973     2.149     2.135
1974     2.052     2.040
1975     1.909     1.898
1976     1.847     1.836
1977     1.791     1.781
1978     1.779     1.770
1979     1.755     1.747
1980     1.734     1.726
1981     1.729     1.720
1982     1.757     1.748
1983     1.790     1.781
1984     1.801     1.792
1985     1.758     1.749
1986     1.720     1.710
1987     1.691     1.681
1988     1.659     1.648
1989     1.577     1.566
1990     1.544     1.532
1991     1.538     1.526
1992     1.507     1.494
1993     1.465     1.452
1994     1.508     1.493
1995     1.426     1.411
1996     1.430     1.415
1997     1.394     1.378
1998     1.392     1.375
1999     1.352     1.334
2000     1.362     1.342
2001     1.339     1.318
2002     1.324     1.302
2003     1.297     1.274
2004     1.295     1.270
2005     1.256     1.230
2006     1.310     1.282
2007     1.326     1.295
2008     1.352     1.319
2009     1.351     1.315
2010     1.380     1.340
2011     1.384     1.341
2012     1.394     1.347
2013     1.413     1.363
2014     1.408     1.355
2015     1.442     1.386
2016     1.433     1.374
2017     1.419     1.359
2018     1.408     1.345
