United States, Period total fertility rates and period total fertility rates by age 40
Last modified: 01/09/2020
Year       TFR     TFR40
1933     2.012     1.911
1934     2.072     1.973
1935     2.038     1.944
1936     2.007     1.919
1937     2.038     1.955
1938     2.092     2.010
1939     2.050     1.974
1940     2.113     2.037
1941     2.226     2.152
1942     2.465     2.392
1943     2.566     2.489
1944     2.439     2.359
1945     2.380     2.297
1946     2.830     2.747
1947     3.161     3.077
1948     3.009     2.930
1949     3.022     2.945
1950     3.020     2.944
1951     3.203     3.124
1952     3.302     3.222
1953     3.372     3.292
1954     3.494     3.411
1955     3.538     3.456
1956     3.654     3.570
1957     3.738     3.654
1958     3.689     3.609
1959     3.689     3.609
1960     3.667     3.587
1961     3.626     3.545
1962     3.481     3.403
1963     3.354     3.280
1964     3.222     3.149
1965     2.926     2.858
1966     2.714     2.651
1967     2.564     2.507
1968     2.467     2.416
1969     2.457     2.410
1970     2.461     2.417
1971     2.268     2.230
1972     2.008     1.975
1973     1.871     1.842
1974     1.827     1.802
1975     1.769     1.744
1976     1.739     1.716
1977     1.783     1.761
1978     1.747     1.727
1979     1.795     1.774
1980     1.821     1.802
1981     1.806     1.786
1982     1.815     1.795
1983     1.784     1.764
1984     1.793     1.773
1985     1.835     1.815
1986     1.835     1.814
1987     1.865     1.843
1988     1.922     1.898
1989     1.998     1.973
1990     2.068     2.040
1991     2.056     2.028
1992     2.042     2.012
1993     2.018     1.987
1994     2.001     1.969
1995     1.980     1.946
1996     1.978     1.943
1997     1.973     1.936
1998     2.002     1.964
1999     2.008     1.969
2000     2.053     2.012
2001     2.031     1.989
2002     2.024     1.981
2003     2.053     2.007
2004     2.058     2.010
2005     2.061     2.012
2006     2.112     2.061
2007     2.122     2.070
2008     2.074     2.020
2009     2.002     1.948
2010     1.925     1.871
2011     1.889     1.835
2012     1.875     1.819
2013     1.852     1.795
2014     1.865     1.806
2015     1.846     1.786
2016     1.819     1.757
2017     1.766     1.704
2018     1.729     1.666
