United States, Period total fertility rates by birth order and period total fertility rates by birth order by age 40
Last modified: 01/09/2020
Year       TFR      TFR1      TFR2      TFR3      TFR4     TFR5p     TFR40   TFR40_1   TFR40_2   TFR40_3   TFR40_4  TFR40_5p
1933     2.012     0.595     0.439     0.291     0.200     0.487     1.911     0.592     0.434     0.285     0.192     0.408
1934     2.072     0.642     0.450     0.294     0.201     0.485     1.973     0.639     0.446     0.288     0.193     0.407
1935     2.038     0.671     0.441     0.280     0.190     0.455     1.944     0.668     0.437     0.274     0.182     0.382
1936     2.007     0.678     0.450     0.272     0.180     0.427     1.919     0.675     0.445     0.266     0.173     0.359
1937     2.038     0.713     0.466     0.272     0.176     0.412     1.955     0.710     0.462     0.267     0.169     0.348
1938     2.092     0.748     0.490     0.280     0.175     0.400     2.010     0.745     0.486     0.274     0.168     0.338
1939     2.050     0.732     0.494     0.278     0.170     0.376     1.974     0.728     0.490     0.273     0.164     0.320
1940     2.113     0.751     0.524     0.292     0.174     0.372     2.037     0.747     0.520     0.287     0.168     0.317
1941     2.226     0.835     0.551     0.302     0.176     0.362     2.152     0.831     0.546     0.296     0.170     0.309
1942     2.465     0.985     0.617     0.324     0.183     0.357     2.392     0.981     0.611     0.318     0.176     0.306
1943     2.566     0.923     0.691     0.371     0.205     0.376     2.489     0.918     0.685     0.364     0.197     0.324
1944     2.439     0.815     0.651     0.382     0.212     0.379     2.359     0.810     0.644     0.374     0.204     0.328
1945     2.380     0.788     0.633     0.374     0.209     0.376     2.297     0.782     0.625     0.365     0.201     0.324
1946     2.830     1.061     0.772     0.406     0.219     0.371     2.747     1.055     0.763     0.397     0.211     0.321
1947     3.161     1.300     0.840     0.435     0.222     0.365     3.077     1.293     0.831     0.425     0.213     0.316
1948     3.009     1.116     0.862     0.449     0.224     0.357     2.930     1.110     0.854     0.439     0.215     0.312
1949     3.022     1.036     0.900     0.480     0.240     0.367     2.945     1.029     0.891     0.470     0.232     0.322
1950     3.020     0.970     0.908     0.518     0.257     0.368     2.944     0.963     0.899     0.508     0.248     0.325
1951     3.203     1.032     0.932     0.565     0.287     0.386     3.124     1.026     0.923     0.555     0.278     0.343
1952     3.302     1.022     0.946     0.608     0.318     0.408     3.222     1.016     0.937     0.597     0.308     0.365
1953     3.372     1.017     0.955     0.629     0.340     0.431     3.292     1.011     0.946     0.617     0.329     0.388
1954     3.494     1.034     0.966     0.661     0.367     0.465     3.411     1.029     0.957     0.649     0.356     0.420
1955     3.538     1.020     0.963     0.679     0.385     0.491     3.456     1.014     0.954     0.667     0.374     0.447
1956     3.654     1.044     0.976     0.704     0.407     0.524     3.570     1.039     0.967     0.691     0.395     0.478
1957     3.738     1.049     0.981     0.724     0.428     0.556     3.654     1.044     0.973     0.712     0.415     0.509
1958     3.689     1.002     0.960     0.718     0.437     0.573     3.609     0.998     0.952     0.707     0.425     0.527
1959     3.689     0.972     0.943     0.721     0.450     0.603     3.609     0.968     0.936     0.710     0.438     0.557
1960     3.667     0.945     0.919     0.720     0.458     0.625     3.587     0.941     0.913     0.709     0.446     0.578
1961     3.626     0.923     0.884     0.708     0.461     0.650     3.545     0.919     0.877     0.697     0.449     0.602
1962     3.481     0.881     0.838     0.673     0.444     0.644     3.403     0.878     0.832     0.663     0.433     0.598
1963     3.354     0.863     0.804     0.636     0.424     0.627     3.280     0.860     0.799     0.627     0.413     0.581
1964     3.222     0.859     0.764     0.598     0.399     0.601     3.149     0.856     0.759     0.590     0.389     0.557
1965     2.926     0.819     0.700     0.527     0.349     0.533     2.858     0.815     0.695     0.518     0.339     0.491
1966     2.714     0.830     0.660     0.465     0.299     0.460     2.651     0.827     0.655     0.458     0.290     0.421
1967     2.564     0.807     0.650     0.433     0.270     0.404     2.507     0.804     0.646     0.427     0.262     0.369
1968     2.467     0.830     0.637     0.406     0.244     0.352     2.416     0.827     0.633     0.400     0.236     0.320
1969     2.457     0.835     0.652     0.408     0.237     0.325     2.410     0.833     0.648     0.403     0.230     0.296
1970     2.461     0.860     0.664     0.408     0.228     0.300     2.417     0.858     0.661     0.403     0.222     0.273
1971     2.268     0.804     0.630     0.370     0.202     0.261     2.230     0.802     0.627     0.366     0.197     0.238
1972     2.008     0.744     0.582     0.311     0.165     0.206     1.975     0.743     0.579     0.308     0.160     0.186
1973     1.871     0.714     0.565     0.283     0.140     0.169     1.842     0.712     0.563     0.280     0.137     0.151
1974     1.827     0.715     0.572     0.272     0.127     0.143     1.802     0.713     0.569     0.269     0.123     0.127
1975     1.769     0.700     0.557     0.266     0.118     0.127     1.744     0.699     0.555     0.263     0.115     0.112
1976     1.739     0.691     0.554     0.267     0.113     0.115     1.716     0.689     0.551     0.264     0.110     0.102
1977     1.783     0.711     0.572     0.279     0.114     0.108     1.761     0.709     0.570     0.276     0.111     0.095
1978     1.747     0.707     0.559     0.274     0.110     0.098     1.727     0.705     0.556     0.271     0.107     0.087
1979     1.795     0.734     0.574     0.281     0.111     0.094     1.774     0.733     0.572     0.278     0.108     0.084
1980     1.821     0.761     0.578     0.281     0.110     0.091     1.802     0.759     0.576     0.278     0.107     0.081
1981     1.806     0.759     0.575     0.278     0.108     0.085     1.786     0.757     0.573     0.276     0.105     0.076
1982     1.815     0.759     0.586     0.280     0.107     0.082     1.795     0.757     0.584     0.277     0.104     0.073
1983     1.784     0.749     0.578     0.275     0.105     0.078     1.764     0.746     0.575     0.271     0.102     0.070
1984     1.793     0.751     0.587     0.276     0.104     0.075     1.773     0.749     0.584     0.273     0.101     0.067
1985     1.835     0.769     0.602     0.285     0.106     0.073     1.815     0.766     0.599     0.281     0.103     0.066
1986     1.835     0.773     0.598     0.286     0.106     0.072     1.814     0.770     0.594     0.282     0.103     0.065
1987     1.865     0.783     0.606     0.294     0.109     0.072     1.843     0.780     0.602     0.290     0.106     0.066
1988     1.922     0.804     0.622     0.306     0.115     0.075     1.898     0.800     0.617     0.301     0.111     0.068
1989     1.998     0.838     0.640     0.320     0.121     0.079     1.973     0.834     0.634     0.315     0.118     0.073
1990     2.068     0.868     0.658     0.331     0.127     0.083     2.040     0.863     0.652     0.326     0.123     0.077
1991     2.056     0.864     0.653     0.328     0.127     0.085     2.028     0.859     0.646     0.322     0.123     0.078
1992     2.042     0.852     0.654     0.325     0.126     0.085     2.012     0.847     0.646     0.319     0.122     0.078
1993     2.018     0.851     0.645     0.316     0.123     0.083     1.987     0.845     0.638     0.310     0.119     0.076
1994     2.001     0.855     0.637     0.310     0.119     0.080     1.969     0.848     0.629     0.304     0.115     0.073
1995     1.980     0.851     0.630     0.305     0.116     0.077     1.946     0.844     0.621     0.299     0.112     0.071
1996     1.978     0.836     0.637     0.311     0.117     0.078     1.943     0.829     0.627     0.303     0.113     0.071
1997     1.973     0.823     0.640     0.314     0.119     0.078     1.936     0.815     0.630     0.307     0.114     0.071
1998     2.002     0.820     0.655     0.325     0.123     0.079     1.964     0.812     0.644     0.317     0.118     0.072
1999     2.008     0.820     0.656     0.329     0.124     0.079     1.969     0.811     0.645     0.321     0.120     0.072
2000     2.053     0.832     0.668     0.341     0.130     0.082     2.012     0.823     0.657     0.333     0.124     0.075
2001     2.031     0.813     0.664     0.341     0.132     0.083     1.989     0.804     0.652     0.332     0.126     0.075
2002     2.024     0.808     0.660     0.340     0.132     0.084     1.981     0.799     0.648     0.331     0.127     0.076
2003     2.053     0.824     0.666     0.344     0.134     0.085     2.007     0.814     0.652     0.335     0.129     0.077
2004     2.058     0.820     0.664     0.349     0.137     0.087     2.010     0.809     0.651     0.339     0.132     0.079
2005     2.061     0.817     0.665     0.351     0.140     0.089     2.012     0.806     0.651     0.341     0.133     0.081
2006     2.112     0.840     0.676     0.359     0.145     0.092     2.061     0.829     0.662     0.348     0.138     0.084
2007     2.122     0.846     0.676     0.360     0.146     0.094     2.070     0.834     0.662     0.348     0.140     0.086
2008     2.074     0.829     0.656     0.349     0.145     0.094     2.020     0.817     0.641     0.338     0.138     0.086
2009     2.002     0.801     0.632     0.335     0.140     0.094     1.948     0.789     0.617     0.323     0.134     0.085
2010     1.925     0.769     0.608     0.321     0.135     0.092     1.871     0.757     0.592     0.310     0.128     0.083
2011     1.889     0.752     0.598     0.315     0.133     0.092     1.835     0.740     0.582     0.304     0.126     0.083
2012     1.875     0.743     0.594     0.312     0.133     0.093     1.819     0.730     0.578     0.301     0.126     0.084
2013     1.852     0.727     0.588     0.311     0.132     0.093     1.795     0.714     0.572     0.299     0.125     0.084
2014     1.865     0.726     0.594     0.314     0.135     0.095     1.806     0.713     0.578     0.302     0.127     0.086
2015     1.846     0.711     0.591     0.314     0.136     0.096     1.786     0.697     0.574     0.301     0.128     0.086
2016     1.819     0.694     0.583     0.310     0.135     0.096     1.757     0.681     0.566     0.297     0.127     0.085
2017     1.766     0.671     0.565     0.303     0.132     0.096     1.704     0.658     0.548     0.290     0.124     0.084
2018     1.729     0.658     0.551     0.296     0.130     0.094     1.666     0.645     0.534     0.283     0.121     0.083
